Gene,Category
6-ACF,Functional
4-AAX,Non-functional
3-ADV,Non-functional
4-ACY,Non-functional
3-AEO,Non-functional
3-AEE,Functional
4-AEB,Functional
2-AEI,Functional
3-ADZ,Functional
3-AEJ,Non-functional
3-AFC,Functional
2-ACK,Functional
3-ADU,Functional
3-AEF,Functional
3-ABN,Non-functional
4-ADP,Non-functional
3-ACZ,Functional
6-AFK,Non-functional
3-ABH,Functional
5-ABI,Functional
3-ABC,Non-functional
4-ACC,Non-functional
3-AFX,Non-functional
3-AAJ,Non-functional
3-AAZ,Non-functional
3-ABJ,Functional
4-ABX,Non-functional
3-ADF,Functional
4-ACX,Non-functional
3-ADN,Functional
4-AAW,Non-functional
3-ACN,Functional
3-AGV,Functional
3-AAD,Functional
3-ABZ,Functional
3-AEN,Non-functional
3-ACW,Non-functional
3-ABP,Non-functional
5-AER,Functional
3-ADT,Non-functional
3-AGM,Non-functional
4-AGB,Non-functional
3-ADM,Functional
3-AGG,Non-functional
3-ABQ,Non-functional
3-ACL,Non-functional
3-AEG,Non-functional
3-AFR,Functional
3-ACH,Non-functional
4-AFI,Functional
3-AFW,Functional
3-ABK,Functional
3-AAN,Non-functional
3-ABV,Non-functional
1-AAT,Non-functional
1-ADJ,Non-functional
4-ADY,Non-functional
7-ABT,Non-functional
2-ABO,Non-functional
1-ABL,Non-functional
4-AGL,Functional
3-AAB,Functional
3-ADK,Non-functional
3-AAK,Non-functional
4-AFH,Non-functional
4-ADD,Functional
3-ACR,Non-functional
3-AFZ,Non-functional
1-AEU,Non-functional
1-AGS,Functional
1-AAO,Non-functional
3-ADO,Functional
3-AFV,Non-functional
3-AFJ,Non-functional
3-ACA,Functional
3-AAI,Non-functional
1-ACE,Non-functional
4-AEC,Functional
1-AEK,Non-functional
4-AGR,Functional
3-ACD,Non-functional
1-ABD,Non-functional
4-AGU,Functional
7-AAP,Non-functional
1-AAL,Non-functional
1-AEA,Non-functional
2-ADQ,Non-functional
3-ABA,Functional
3-ABE,Non-functional
1-AFS,Functional
3-AGI,Non-functional
3-ACI,Functional
4-AGA,Non-functional
3-ADR,Functional
1-AEP,Functional
3-AFE,Functional
3-AEH,Functional
3-ADX,Functional
4-AAY,Non-functional
3-AET,Functional
3-AAS,Non-functional
5-AFT,Non-functional
4-ACO,Non-functional
7-ABS,Functional
3-AEL,Non-functional
