Gene,Category,LocusGroup,Comments
4-ACX,Functional,main,
2-ABN,Non-functional,main,
4-ACU,Non-functional,main,
2-ADH,Functional,main,
4-ACS,Non-functional,main,
7-ACH,Functional,main,
2-AEI,Functional,main,
2-ACT,Non-functional,main,
2-ADR,Non-functional,main,
3-ADN,Functional,main,
3-ADY,Non-functional,main,
1-AEG,Functional,main,
2-ACC,Non-functional,main,
3-ABT,Functional,main,
1-ABR,Functional,main,
2-ADI,Non-functional,main,
1-AEJ,Functional,main,
1-AAZ,Functional,main,
1-ACQ,Non-functional,main,
2-ADP,Non-functional,main,
3-ABD,Functional,main,
3-AAA,Functional,sister,Table S2 says 5 IGKV3 alleles on the sister locus but I only count 4 in Fig2.  3-AED is missing here
1-AAU,Functional,main,
1-ACI,Functional,sister,
1-ADK,Functional,main,
2-AAW,Non-functional,main,
3-AAH,Functional,main,
3-ADU,Functional,sister,
1-ADO,Functional,main,
1-AAD,Functional,sister,
1-AAY,Functional,main,
1-ADF,Functional,sister,
1-ABZ,Functional,main,
1-AAL,Functional,sister,
2-AAB,Non-functional,main,
3-ABF,Functional,main,
3-AAP,Functional,sister,
1-ACK,Functional,main,
1-ACE,Functional,main,
4-ADE,Non-functional,main,
1-ABU,Non-functional,main,
6-ABA,Functional,main,
2-ADB,Non-functional,main,
2-ACM,Non-functional,main,
1-AAX,Non-functional,main,
1-ACW,Non-functional,main,
2-ABO,Non-functional,main,
1-AEE,Functional,main,
1-ADD,Functional,sister,
3-ACF,Functional,main,
3-ADW,Functional,sister,
1-ACO,Non-functional,main,
6-ABK,Functional,main,
1-ABC,Non-functional,main,
2-ADG,Non-functional,main,
2-ADC,Functional,main,
1-ADT,Functional,main,
2-ABW,Functional,main,
2-AAT,Functional,main,
2-AAQ,Functional,sister,
2-AAN,Functional,main,
1-ACJ,Non-functional,main,
2-ACL,Functional,main,
3-ABG,Non-functional,main,
1-ACV,Non-functional,main,
2-AAK,Functional,main,
1-AAS,Functional,main,
6-AAR,Non-functional,main,
2-AEH,Functional,main,
1-AEK,Functional,main,
2-ADV,Functional,main,
3-ABX,Non-functional,main,
1-ACZ,Non-functional,main,
2-AEF,Functional,main,
2-ADA,Functional,main,
1-ABV,Functional,main,
2-ABJ,Non-functional,main,
2-ADJ,Functional,main,
1-ABE,Non-functional,main,
2-AEC,Non-functional,main,
1-AEA,Functional,main,
2-AAM,Non-functional,main,
2-ADS,Non-functional,main,
1-AAG,Non-functional,main,
1-ABM,Functional,main,
2-ADZ,Functional,main,
1-ABY,Non-functional,main,
2-AEM,Functional,main,
1-ADX,Non-functional,main,
2-ABB,Functional,main,
1-ADL,Non-functional,main,
2-AAO,Functional,main,
3-ACP,Non-functional,main,
1-ABL,Functional,main,
2-ACG,Non-functional,main,
2-AEN,Functional,main,
2-AAI,Functional,main,
3-AAV,Non-functional,main,
1-ACN,Non-functional,main,
2-ABS,Non-functional,main,
2-AEL,Functional,main,
1-ABI,Non-functional,main,
1-ACA,Non-functional,main,
3-AAJ,Non-functional,main,
1-ABP,Non-functional,main,
1-ACY,Functional,main,
3-AEO,Non-functional,main,
2-ADQ,Non-functional,main,
2-ACB,Functional,main,
2-ACR,Functional,main,
2-ABQ,Non-functional,main,
3-AAF,Non-functional,main,
2-AAC,Non-functional,main,
2-AAE,Functional,main,
2-ABH,Non-functional,main,
1-ADM,Non-functional,main,
2-AEB,Functional,main,
2-ACD,Non-functional,main,
