Locus,Gene,Category,LocusGroup,Source,Comments
IGH,6-ACF,Functional,main,Fig1,
IGH,4-AAX,Non-functional,main,Fig1,
IGH,3-ADV,Non-functional,main,Fig1,
IGH,4-ACY,Non-functional,main,Fig1,
IGH,3-AEO,Non-functional,main,Fig1,
IGH,3-AEE,Functional,main,Fig1,
IGH,4-AEB,Functional,main,Fig1,
IGH,2-AEI,Functional,main,Fig1,
IGH,3-ADZ,Functional,main,Fig1,
IGH,3-AEJ,Non-functional,main,Fig1,
IGH,3-AFC,Functional,main,Fig1,
IGH,2-ACK,Functional,main,Fig1,
IGH,3-ADU,Functional,main,Fig1,
IGH,3-AEF,Functional,main,Fig1,
IGH,3-ABN,Non-functional,main,Fig1,
IGH,4-ADP,Non-functional,main,Fig1,
IGH,3-ACZ,Functional,main,Fig1,
IGH,6-AFK,Non-functional,main,Fig1,
IGH,3-ABH,Functional,main,Fig1,
IGH,5-ABI,Functional,main,Fig1,
IGH,3-ABC,Non-functional,main,Fig1,
IGH,4-ACC,Non-functional,main,Fig1,
IGH,3-AFX,Non-functional,main,Fig1,
IGH,3-AAJ,Non-functional,main,Fig1,
IGH,3-AAZ,Non-functional,main,Fig1,
IGH,3-ABJ,Functional,main,Fig1,
IGH,4-ABX,Non-functional,main,Fig1,
IGH,3-ADF,Functional,main,Fig1,
IGH,4-ACX,Non-functional,main,Fig1,
IGH,3-ADN,Functional,main,Fig1,
IGH,4-AAW,Non-functional,main,Fig1,
IGH,3-ACN,Functional,main,Fig1,
IGH,3-AGV,Functional,main,Fig1,
IGH,3-AAD,Functional,main,Fig1,
IGH,3-ABZ,Functional,main,Fig1,
IGH,3-AEN,Non-functional,main,Fig1,
IGH,3-ACW,Non-functional,main,Fig1,
IGH,3-ABP,Non-functional,main,Fig1,
IGH,5-AER,Functional,main,Fig1,
IGH,3-ADT,Non-functional,main,Fig1,
IGH,3-AGM,Non-functional,main,Fig1,
IGH,4-AGB,Non-functional,main,Fig1,
IGH,3-ADM,Functional,main,Fig1,
IGH,3-AGG,Non-functional,main,Fig1,
IGH,3-ABQ,Non-functional,main,Fig1,
IGH,3-ACL,Non-functional,main,Fig1,
IGH,3-AEG,Non-functional,main,Fig1,
IGH,3-AFR,Functional,main,Fig1,
IGH,3-ACH,Non-functional,main,Fig1,
IGH,4-AFI,Functional,main,Fig1,
IGH,3-AFW,Functional,main,Fig1,
IGH,3-ABK,Functional,main,Fig1,
IGH,3-AAN,Non-functional,main,Fig1,
IGH,3-ABV,Non-functional,main,Fig1,
IGH,1-AAT,Non-functional,main,Fig1,
IGH,1-ADJ,Non-functional,main,Fig1,
IGH,4-ADY,Non-functional,main,Fig1,
IGH,7-ABT,Non-functional,main,Fig1,
IGH,2-ABO,Non-functional,main,Fig1,
IGH,1-ABL,Non-functional,main,Fig1,
IGH,4-AGL,Functional,main,Fig1,
IGH,3-AAB,Functional,main,Fig1,
IGH,3-ADK,Non-functional,main,Fig1,
IGH,3-AAK,Non-functional,main,Fig1,
IGH,4-AFH,Non-functional,main,Fig1,
IGH,4-ADD,Functional,main,Fig1,
IGH,3-ACR,Non-functional,main,Fig1,
IGH,3-AFZ,Non-functional,main,Fig1,
IGH,1-AEU,Non-functional,main,Fig1,
